url,town_vilage,voivodeship,rooms,price,m2,plot_m2
https://www.otodom.pl/oferta/nowy-dom-w-jankach-ID46uXA.html#1e0c99d02c,Janki,mazowieckie,6,950000,176,506
https://www.otodom.pl/oferta/osiedle-siczki-jedlnia-letnisko-ID3koDg.html#1e0c99d02c,Radom,mazowieckie,6,250000,175,900
https://www.otodom.pl/oferta/wlasciciel-sprzeda-domy-wolnostojace-pod-krakowem-ID42YPh.html#1e0c99d02c,Baranówka,małopolskie,4,550000,139.18,600
https://www.otodom.pl/oferta/dom-na-dzialce-z-mozliwa-zabudowa-do-5-kondygnacji-ID3yPKn.html#1e0c99d02c,Nowy Dwór Mazowiecki,mazowieckie,6,950000,180,1050
https://www.otodom.pl/oferta/dom-w-zabudowie-szeregowej-mieszkanie-na-pietrze-ID44x2o.html#1e0c99d02c,Mędłów,dolnośląskie,4,370000,105.84,100
https://www.otodom.pl/oferta/dom-460-m2-powierzchni-w-gilowicach-stan-surowy-ID46hfA.html#1e0c99d02c,Gilowice,śląskie,NA,549000,460,1877
https://www.otodom.pl/oferta/osiedle-laziska-twoj-dom-w-poblizu-boleslawca-ID43f95.html#1e0c99d02c,Bolesławiec,dolnośląskie,4,429000,106.1,335
https://www.otodom.pl/oferta/komfortowy-dom-w-pieknej-okolicy-ID46JpH.html#1e0c99d02c,Straszyn,pomorskie,4,695000,146.76,210
https://www.otodom.pl/oferta/nowe-domy-ksawerow-osiedle-nad-stawem-ID46z2G.html#1e0c99d02c,Ksawerów,łódzkie,5,860000,142,250
https://www.otodom.pl/oferta/komfortowy-dom-w-pieknej-okolicy-ID46Jpq.html#1e0c99d02c,Straszyn,pomorskie,4,695000,146.76,210
https://www.otodom.pl/oferta/dom-o-pow-133-mkw-na-6-arowej-dzialce-ID46Jpk.html#1e0c99d02c,Wilków,małopolskie,4,285000,133,600
https://www.otodom.pl/oferta/nowy-dom-zgierz-krzywie-chelmy-ID466Jo.html#1e0c99d02c,Zgierz,łódzkie,5,749000,150,700
https://www.otodom.pl/oferta/sprzedam-dom-ID446Wx.html#1e0c99d02c,Huta,kujawskopomorskie,3,640000,170,3000
https://www.otodom.pl/oferta/piekny-dom-w-zielonej-cichej-okolicy-ID41yFc.html#1e0c99d02c,Warszawa,mazowieckie,7,1380000,246.06,600
https://www.otodom.pl/oferta/dom-w-zabudowie-blizniaczej-jablonna-ID440X1.html#1e0c99d02c,Jabłonna,mazowieckie,5,649000,140,540
https://www.otodom.pl/oferta/sprzedam-dom-na-pieknej-dzialce-ID44vkf.html#1e0c99d02c,Mauryców,łódzkie,4,298000,165,3700
https://www.otodom.pl/oferta/dom-pensjonat-blizniak-ID3ObKU.html#1e0c99d02c,Niechorze,zachodniopomorskie,9,820000,210.6,419
https://www.otodom.pl/oferta/dom-w-zabudowie-blizniaczej-w-wisniowej-gorze-ID463tc.html#1e0c99d02c,Łódź,łódzkie,4,415000,85.23,90
https://www.otodom.pl/oferta/zjawiskowy-dom-parterowy-leki-dolne-ID46GZv.html#1e0c99d02c,Łęki Dolne,podkarpackie,7,820000,133.73,15200
https://www.otodom.pl/oferta/dom-na-dzialce-4843-m2-kolsk-ID46jbf.html#1e0c99d02c,Kolsk,zachodniopomorskie,3,159000,78.59,4843
https://www.otodom.pl/oferta/dom-na-sprzedaz-w-niechorzu-duza-dzialka-ID3SQXG.html#1e0c99d02c,Niechorze,zachodniopomorskie,NA,1070000,388,1262
https://www.otodom.pl/oferta/dom-blizniak-poznan-kicin-wysoki-standard-ID45tR4.html#1e0c99d02c,Kicin,wielkopolskie,5,660000,143,1010
https://www.otodom.pl/oferta/dom-skorzewo-ogrzewanie-podlogowe-na-parterze-ID46joK.html#1e0c99d02c,Skórzewo,wielkopolskie,3,497000,108.9,400
https://www.otodom.pl/oferta/nowe-domy-skorzewo-duze-ogrody-wysoki-standard-ID46rRZ.html#1e0c99d02c,Skórzewo,wielkopolskie,3,497000,108.9,400
https://www.otodom.pl/oferta/wielka-obnizka-ceny-dom-w-luboniu-bez-prowizji-ID46GtC.html#4f9791ef49,Luboń,wielkopolskie,3,378000,65.86,320
https://www.otodom.pl/oferta/nowy-dom-w-lesie-ID46hdp.html#4f9791ef49,Żytowań,lubuskie,3,700000,150,6000
https://www.otodom.pl/oferta/letnia-obnizka-ceny-dom-z-ogrodem-w-luboniu-ID46Guv.html#4f9791ef49,Luboń,wielkopolskie,3,365000,62.85,320
