url,town_vilage,voivodeship,rooms,price,m2,plot_m2
https://www.otodom.pl/oferta/sprzedam-dom-jednorodzinny-ID46uWY.html#c9e6776b95,Ząbkowice Śląskie,dolnośląskie,6,610000,180,4500
https://www.otodom.pl/oferta/dom-kolonia-nieszawa-ID46Jq4.html#c9e6776b95,Kolonia Nieszawa,lubelskie,4,310500,258,4163
https://www.otodom.pl/oferta/dom-z-widokiem-na-skawine-tyniec-krakow-ID46hfB.html#c9e6776b95,Buków,małopolskie,3,375000,135,500
https://www.otodom.pl/oferta/zagospodarowane-siedlisko-z-sadem-0-95ha-niewirkow-ID44OQP.html#c9e6776b95,Niewirków,lubelskie,2,135000,70,9500
https://www.otodom.pl/oferta/nieruchomosc-we-wrzesni-centrum-nowa-cena-okazja-ID42UaU.html#c9e6776b95,Września,wielkopolskie,6,489000,180,100
https://www.otodom.pl/oferta/szczytno-sprzedam-dom-jednorodzinny-z-ogrodem-ID452Ib.html#c9e6776b95,Szczytno,warmińskomazurskie,5,520000,240,590
https://www.otodom.pl/oferta/dom-110-m-brodnica-ID46JpB.html#c9e6776b95,Brodnica,kujawskopomorskie,6,350000,110,450
https://www.otodom.pl/oferta/dom-60-m-ciechocinek-ID46JpA.html#c9e6776b95,Ciechocinek,kujawskopomorskie,2,137000,60,754
https://www.otodom.pl/oferta/odnowione-pol-blizniaka-w-sercu-starego-grunwaldu-ID46odS.html#c9e6776b95,Poznań,wielkopolskie,5,890000,210,628
https://www.otodom.pl/oferta/atrakcyjny-segment-nowoursynowska-bezposrednio-ID45MJ6.html#c9e6776b95,Warszawa,mazowieckie,6,2400000,340,140
https://www.otodom.pl/oferta/atrakcyjna-dzielnica-poznan-super-osiedle-ID466Q4.html#c9e6776b95,Poznań,wielkopolskie,5,594000,91,149
https://www.otodom.pl/oferta/dom-514-m-warszawa-ID46Jpg.html#c9e6776b95,Warszawa,mazowieckie,NA,4070000,514,699
https://www.otodom.pl/oferta/dom-wolnostojacy-190m-na-dzialce-900m-ID4674T.html#c9e6776b95,Warszawa,mazowieckie,4,1500000,190,900
https://www.otodom.pl/oferta/sprzedam-dom-okazja-ID44BDg.html#c9e6776b95,Warszawa,mazowieckie,5,1499000,300,1255
https://www.otodom.pl/oferta/dom-220-m2-osobowice-podzielony-na-3-mieszkania-ID46CQA.html#c9e6776b95,Wrocław,dolnośląskie,8,889000,220,400
https://www.otodom.pl/oferta/dom-6-pokoi-brzezina-tani-w-utrzymaniu-lesnica-ID46CQy.html#c9e6776b95,Brzezina,dolnośląskie,6,698000,160,850
https://www.otodom.pl/oferta/dom-caloroczny-stan-nowy-malownicza-okolica-ID45ZTv.html#c9e6776b95,Siedlów,łódzkie,3,320000,85,1600
https://www.otodom.pl/oferta/dom-przelom-dunajca-trzy-korony-ID452Oa.html#c9e6776b95,Sromowce Niżne,małopolskie,4,770000,162,1100
https://www.otodom.pl/oferta/dom-nieporet-ID45btd.html#c9e6776b95,Nieporęt,mazowieckie,6,679000,240,692
https://www.otodom.pl/oferta/dom-jednorodzinny-z-oddzielnym-garazem-i-ogrodem-ID3AxkD.html#c9e6776b95,Trutowo,kujawskopomorskie,4,450000,185,1800
https://www.otodom.pl/oferta/dom-po-remoncie-6km-od-rzeszow-kielnarowa-ID464Xf.html#c9e6776b95,Kielnarowa,podkarpackie,4,559000,160,850
https://www.otodom.pl/oferta/dom-z-cichej-okolicy-z-duza-dzialka-i-lasem-julian-ID46JoF.html#c9e6776b95,Julianów,śląskie,3,159000,70,11290
https://www.otodom.pl/oferta/dom-60-m-branszczyk-ID46Jox.html#c9e6776b95,Brańszczyk,mazowieckie,2,290000,60,2671
https://www.otodom.pl/oferta/dom-w-centrum-gdanska-ID46uTL.html#c9e6776b95,Gdańsk,pomorskie,10,1900000,170,700
https://www.otodom.pl/oferta/rezerwacja-sprzedam-polowe-domu-z-dzialka-74-a-ID46z1b.html#df72e7e30a,Bieńkowo,warmińskomazurskie,NA,79000,50,7400
https://www.otodom.pl/oferta/tradycyjny-dom-z-bala-wraz-z-dzialka-krynki-okazja-ID2UeC9.html#df72e7e30a,Krynki,podlaskie,4,115000,75,920
https://www.otodom.pl/oferta/nowoczesny-dom-w-centrum-bytomia-ID46obV.html#df72e7e30a,Bytom,śląskie,6,649000,120,1000
https://www.otodom.pl/oferta/sprzedam-dom-w-janowcu-wielkopolskim-ID46Jog.html#df72e7e30a,Janowiec Wielkopolski,kujawskopomorskie,3,350000,200,930
https://www.otodom.pl/oferta/dom-blizniak-140m-garaz-i-ogrod-w-cenie-kuchnia-ID46Joh.html#df72e7e30a,Palędzie,wielkopolskie,5,749000,140,490
https://www.otodom.pl/oferta/dom-marzen-blisko-centrum-warszawy-bezposrednio-ID46ad2.html#df72e7e30a,Warszawa,mazowieckie,6,2499000,342,950
https://www.otodom.pl/oferta/duzy-dom-na-dom-seniora-keszyca-lesna-miedzyrzecz-ID3jNMa.html#df72e7e30a,Kęszyca Leśna,lubuskie,NA,499000,NA,2377
https://www.otodom.pl/oferta/dom-560-m-lomianki-ID46Jo3.html#df72e7e30a,Łomianki,mazowieckie,8,2800000,560,2325
https://www.otodom.pl/oferta/ultra-nowoczesna-willa-na-wzgorzu-styl-hollywood-ID439mQ.html#df72e7e30a,Gdańsk,pomorskie,6,3890000,322,1000
https://www.otodom.pl/oferta/nowa-nizsza-cena-duzy-dom-do-wlasnej-aranzacji-ID46JnL.html#df72e7e30a,Zielona Góra,lubuskie,5,499000,250,899
https://www.otodom.pl/oferta/okazja-dom-209-70-m2-z-grodem-1457-m2-jablonna-ID45Q9n.html#df72e7e30a,Jabłonna,mazowieckie,6,990000,209.7,1457
https://www.otodom.pl/oferta/wolnostojacy-dom-zakret-0-prowizji-ID46b4c.html#df72e7e30a,Zakręt,mazowieckie,4,850000,203,650
https://www.otodom.pl/oferta/blizniak-z-bierunia-szuka-wlasciciela-ID45UsM.html#df72e7e30a,Bieruń,śląskie,5,509000,109,370
https://www.otodom.pl/oferta/segment-skrajny-135-m2-dzialka-350-m2-bezposrednio-ID44CLJ.html#df72e7e30a,Warszawa,mazowieckie,4,929000,135,350
https://www.otodom.pl/oferta/nowoczesny-styl-dom-lublin-matczyn-ID46GVZ.html#df72e7e30a,Matczyn,lubelskie,5,1250000,240,2600
https://www.otodom.pl/oferta/dom-do-remontu-kruszwica-ID45Zun.html#df72e7e30a,Kruszwica,kujawskopomorskie,4,225000,108,1221
https://www.otodom.pl/oferta/dom-w-orlach-przy-glownej-drodze-ID46ciR.html#df72e7e30a,Orły,podkarpackie,7,499000,382,2869
https://www.otodom.pl/oferta/nowoczesny-eko-dom-stodola-z-duzym-ogrodem-ID46rob.html#df72e7e30a,Dobrzykowice,dolnośląskie,3,1200000,182,1000
https://www.otodom.pl/oferta/dom-300-m-wilcze-ID45ehV.html#df72e7e30a,Wilcze,kujawskopomorskie,6,950000,300,1450
https://www.otodom.pl/oferta/dom-150-m-lochowo-ID45h7Y.html#df72e7e30a,Łochowo,kujawskopomorskie,5,760000,150,878
https://www.otodom.pl/oferta/dom-130-m-lipniki-ID45m1r.html#df72e7e30a,Lipniki,kujawskopomorskie,4,399000,130,1505
https://www.otodom.pl/oferta/dom-200-m-bydgoszcz-ID467J7.html#df72e7e30a,Bydgoszcz,kujawskopomorskie,7,649000,200,507
https://www.otodom.pl/oferta/dom-110-m-smolniki-ID4698L.html#df72e7e30a,Smolniki,kujawskopomorskie,4,360000,110,700
https://www.otodom.pl/oferta/dom-200-m-rynarzewo-ID46bDg.html#df72e7e30a,Rynarzewo,kujawskopomorskie,4,480000,200,1000
https://www.otodom.pl/oferta/dom-bungalow-na-piaskach-ID45ran.html#2536bcf1f3,Bydgoszcz,kujawskopomorskie,5,849000,306,945
https://www.otodom.pl/oferta/dom-142-m-bydgoszcz-ID46fv1.html#2536bcf1f3,Bydgoszcz,kujawskopomorskie,5,639000,142,264
https://www.otodom.pl/oferta/dom-55-m-dobrcz-ID46ngi.html#2536bcf1f3,Dobrcz,kujawskopomorskie,4,118000,55,300
https://www.otodom.pl/oferta/dom-190-m-bydgoszcz-ID45qjf.html#2536bcf1f3,Bydgoszcz,kujawskopomorskie,4,870000,190,400
https://www.otodom.pl/oferta/dom-na-wsi-ID4627X.html#2536bcf1f3,Kajnity,warmińskomazurskie,5,100000,120,900
https://www.otodom.pl/oferta/dom-glinki-pod-dzial-gospodarcza-ID44tad.html#2536bcf1f3,Bydgoszcz,kujawskopomorskie,3,550000,80,552
https://www.otodom.pl/oferta/piekny-i-gotowy-dom-pod-warszawa-jozefow-skm-ID46JmP.html#2536bcf1f3,Józefów,mazowieckie,4,950000,220,312
https://www.otodom.pl/oferta/dom-dla-rodziny-pod-wynajem-letni-blisko-morza-ID46vQ1.html#2536bcf1f3,Mosty,pomorskie,6,780000,219.8,776
https://www.otodom.pl/oferta/dom-jozefoslaw-262m2-las-kabacki-wysoki-standard-ID46JmN.html#2536bcf1f3,Józefosław,mazowieckie,5,1498000,262,507
https://www.otodom.pl/oferta/dom-na-mazurach-ID46yZ8.html#2536bcf1f3,Leśniewo,warmińskomazurskie,10,700000,163.68,NA
https://www.otodom.pl/oferta/dom-biura-550m2-dzialka-1100m2-jelenia-gora-ID3K2bV.html#2536bcf1f3,Jelenia Góra,śląskie,NA,1970000,550,1100
https://www.otodom.pl/oferta/dom-z-ogrodem-50m2-w-lesnicy-ID45r8W.html#2536bcf1f3,Wrocław,dolnośląskie,4,720000,109,NA
https://www.otodom.pl/oferta/niesamowity-dom-nad-jeziorem-ID46Jmq.html#2536bcf1f3,Tuchola,kujawskopomorskie,4,449000,113,1028
https://www.otodom.pl/oferta/dom-w-zabudowie-szeregowej-zerniki-tyniec-maly-ID46Jmn.html#2536bcf1f3,Bielany Wrocławskie,dolnośląskie,5,750000,200,470
https://www.otodom.pl/oferta/jednopietrowy-dom-z-3-sypialniami-w-miejsc-ruja-ID46Jmg.html#2536bcf1f3,Ruja,dolnośląskie,3,80000,NA,3000
https://www.otodom.pl/oferta/dom-czestochowa-ID44koR.html#2536bcf1f3,Częstochowa,śląskie,3,289000,150,600
https://www.otodom.pl/oferta/wolnostojacy-dom-w-zlotnikach-5km-od-poznania-ID46Jm1.html#2536bcf1f3,Złotniki,wielkopolskie,5,529000,104,584
https://www.otodom.pl/oferta/sprzedam-rezydencja-z-basenem-pod-lasem-ID45SBn.html#2536bcf1f3,Krościenko Wyżne,podkarpackie,6,3190000,420,3000
https://www.otodom.pl/oferta/wroclaw-muchobor-wielki-dzialka-z-zabudowa-ID44pmQ.html#2536bcf1f3,Wrocław,dolnośląskie,3,750000,60,768
https://www.otodom.pl/oferta/dom-jednorodzinny-ID46uRl.html#2536bcf1f3,Dusznica,podlaskie,9,650000,194,6500
https://www.otodom.pl/oferta/dom-90-m-gowarzewo-ID44Xa8.html#2536bcf1f3,Gowarzewo,wielkopolskie,4,230000,90,700
https://www.otodom.pl/oferta/luksusowy-dom-warszawa-okolice-mazow-k-siedlec-ID33E9c.html#2536bcf1f3,Siedlce,mazowieckie,NA,2145000,714,3600
https://www.otodom.pl/oferta/dom-na-sprzedaz-warszawa-targowek-ID46JlO.html#2536bcf1f3,Warszawa,mazowieckie,NA,1690000,340,340
https://www.otodom.pl/oferta/zabudowa-blizniacza-wolny-lewy-segment-ID45e84.html#2536bcf1f3,Wrocław,dolnośląskie,4,685000,122.16,617
https://www.otodom.pl/oferta/dom-w-centrum-grodziska-mazowieckiego-bezposrednio-ID42lPF.html#825de0851f,Grodzisk Mazowiecki,mazowieckie,4,795000,134,176
https://www.otodom.pl/oferta/kamienica-z-duza-dzialka-na-inwestycje-ID46yXW.html#825de0851f,Łódź,łódzkie,6,350000,120,890
https://www.otodom.pl/oferta/holubla-dzialka-1518-m2-z-domem-i-budynkami-ID46JlH.html#825de0851f,Hołubla,mazowieckie,3,82000,NA,1518
https://www.otodom.pl/oferta/sprzedam-dom-w-borach-tucholskich-iwiec-ID35Xgs.html#825de0851f,Iwiec,kujawskopomorskie,3,145000,100,1200
https://www.otodom.pl/oferta/widokowa-cicha-zielona-okolica-na-wzgorzu-ID46Jlt.html#825de0851f,Nakło Śląskie,śląskie,5,515000,162,1377
https://www.otodom.pl/oferta/domek-na-dzialce-rod-bugaj-okolice-jeziora-i-lasu-ID46Jlp.html#825de0851f,Bugaj,wielkopolskie,3,99000,45,388
https://www.otodom.pl/oferta/zabierzow-dom-do-zamieszkania-lokalizacja-ID46Jlo.html#825de0851f,Zabierzów,małopolskie,5,695000,130,215
https://www.otodom.pl/oferta/dom-131-65-m-opole-ID46Jll.html#825de0851f,Opole,opolskie,5,499000,131.65,350
https://www.otodom.pl/oferta/dom-w-walimiu-ID46Jlj.html#825de0851f,Walim,dolnośląskie,9,225000,300,1500
https://www.otodom.pl/oferta/komfortowy-dom-wolnostojacy-160m2-kawdodrza-ID46Jlc.html#825de0851f,Częstochowa,śląskie,5,699000,160,610
https://www.otodom.pl/oferta/dom-140m2-kawodrza-dzialka1450m2-320tys-ID46Jlb.html#825de0851f,Częstochowa,śląskie,5,320000,140,1450
https://www.otodom.pl/oferta/dom-na-sprzedaz-warszawa-targowek-zacisze-ID46Jla.html#825de0851f,Warszawa,mazowieckie,10,2560000,350,450
https://www.otodom.pl/oferta/dom-166-m-czestochowa-ID46Jl9.html#825de0851f,Częstochowa,śląskie,5,540000,166,550
https://www.otodom.pl/oferta/dom-z-pieknym-ogrodem-przy-spokojnej-ulicy-ID46Jl3.html#825de0851f,Poznań,wielkopolskie,7,860000,230,NA
https://www.otodom.pl/oferta/caloroczny-domek-mobilny-48m2-altana-z-tarasem-ID45Kc8.html#825de0851f,Warszawa,mazowieckie,3,129000,48,NA
https://www.otodom.pl/oferta/dom-blizniak-augustow-ID46JkS.html#825de0851f,Augustów,podlaskie,4,480000,110,455
https://www.otodom.pl/oferta/nowoczesny-wykonczony-dom-98-m2-dzialka-373m2-ID46Ex9.html#825de0851f,Nadolice Wielkie,dolnośląskie,4,610000,98.91,373
https://www.otodom.pl/oferta/sprzedam-pol-najpiekniejszej-kamienicy-w-z-gorze-ID454WY.html#825de0851f,Zielona Góra,lubuskie,4,495000,94,540
https://www.otodom.pl/oferta/dom-na-sprzedaz-wolominski-radzymin-ID46JkX.html#825de0851f,Radzymin,mazowieckie,4,570000,129.1,250
https://www.otodom.pl/oferta/dom-na-sprzedaz-wolominski-kobylka-ID46JkP.html#825de0851f,Kobyłka,mazowieckie,4,840000,310,780
https://www.otodom.pl/oferta/dom-na-sprzedaz-wolominski-zielonka-ID46Jkb.html#825de0851f,Zielonka,mazowieckie,NA,2650000,492.5,620
https://www.otodom.pl/oferta/nowoczesny-blizniak-z-duza-dzialka-gdynia-kosakowo-ID43WTI.html#825de0851f,Kosakowo,pomorskie,4,630000,140,500
https://www.otodom.pl/oferta/dom-z-2009-r-milicz-6-pokoi-ID425TN.html#825de0851f,Ruda Milicka,dolnośląskie,6,850000,211,1601
https://www.otodom.pl/oferta/dom-z-ogrodem-i-garazem-bielany-warszawa-ID46uOk.html#825de0851f,Warszawa,mazowieckie,3,1000000,106,252
https://www.otodom.pl/oferta/pol-blizniaka-w-nowych-liniach-ID46Jk5.html#c3f9e276b5,Nowe Linie,zachodniopomorskie,3,230000,53.5,2072
https://www.otodom.pl/oferta/tutaj-moznesz-odetchnac-na-lonie-przyrody-niemcz-ID45v4r.html#c3f9e276b5,Jagodowo,kujawskopomorskie,4,640000,136,970
https://www.otodom.pl/oferta/zamieszkaj-pieknie-olimpin-dom-tylko-do-aranzacji-ID45OoC.html#c3f9e276b5,Olimpin,kujawskopomorskie,4,549000,135,1085
https://www.otodom.pl/oferta/dom-302m2-pod-agroturystyke-broczyno-ID4693H.html#c3f9e276b5,Broczyno,zachodniopomorskie,3,320000,302,2400
https://www.otodom.pl/oferta/dom-z-tarasem-i-garazami-w-sochaczewie-ID43csP.html#c3f9e276b5,Sochaczew,mazowieckie,6,400000,160,609
https://www.otodom.pl/oferta/nowoczesny-dom-259m2-w-brzozie-lesny-zakatek-ID43bwD.html#c3f9e276b5,Brzoza,kujawskopomorskie,5,1150000,259,2000
https://www.otodom.pl/oferta/zamieszkaj-w-domu-z-ogrodem-w-markach-ID46JjC.html#c3f9e276b5,Marki,mazowieckie,6,730000,128.96,NA
https://www.otodom.pl/oferta/wasosz-dom-na-dzialce-budowlanej-967m2-ID46ymZ.html#c3f9e276b5,Wąsosz,kujawskopomorskie,3,300000,67,967
https://www.otodom.pl/oferta/sprzedam-dom-ID46JhM.html#c3f9e276b5,Mysłowice,śląskie,4,480000,199,645
